Team,Games.Won,Opponent.Rushing.Yards
Washington ,10,2205
Minnesota ,11,2096
New England ,11,1847
Oakland,13,1903
Pittsburgh,10,1457
Baltimore ,11,1848
Los Angeles,10,1564
Dallas,11,1821
Atlanta,4,2577
Buffalo,2,2476
Chicago,7,1984
Cincinnati,10,1917
Cleveland,9,1761
Denver,9,1709
Detroit,6,1901
Green Bay,5,2288
Houston,5,2072
Kansas City,5,2861
Miami,6,2411
New Orleans,4,2289
New York Giants,3,2203
New York Jets,3,2592
Philadelphia,4,2053
St. Louis,10,1979
San Diego,6,2048
San Francisco ,8,1786
Seattle ,2,2876
Tampa Bay,0,2560
